CODE;AZS;ADDRESS;COMP_NAME;EXPERT_RES;FUEL_BRAND;OKT_NO;SULF_MGKG;BENZOL_VOL;LUBR_MKM;AROM_VOL;TOTPOLUT;CHECK_DATE
53;АЗС;Киевское ш., 34 км;ИП Бондаренко А.В.;false;ДТ;;1427;;;;;11.04.2013;37.448507;55.633955
54;АЗС;МКАД, 26 км, вл. 10;"ООО ""Нефтьторгсервис""";false;Аи-80 ЭК|АИ-92 ЭКп|АИ-95 ЭКп|ТД З-0,2-35;||92,2/83,0|;920|510|386|406;1.9|2.3|2.04|;|||;|||;|||;23.04.2013;37.703122;55.581997
55;АЗС № 83;Хамовнический вал, вл. 40/1;"ООО ""ВАЛАР""";false;Супер Евро-98;;174;;;;;14.05.2013;37.549992;55.727171
56;АЗС;Зеленоград, Заводская ул., д. 38;"ООО ""ТРАНСойл""";false;Аи-80 ЭК;;131;;;;;22.05.2013;37.183776;55.972816
58;АЗС;Калужское ш., 41-й км;"ООО ""Лекс-Сервис""";false;Регуляр-92|Премиум-95|ТД Евро;||;366|292|1377;3.78|3.21|;||;||;||;28.05.2013;37.32942886799301;55.492924766372965
48;АЗС;Балаклавсктй пр-т, вл. 11;"ООО ""ТСК-МАКС""";false;АИ-80 ЭК|АИ-92 ЭКп|АИ-95 ЭКп|Супер Евро-98|ТД Евро;||93,1/83,1||;157|142|148|109|136;1.14||||;||||;||||;||||;21.03.2013;37.593614;55.641336
49;АЗС;Пролетарский пр-т, вл. 24;"ООО ""ОТК""";false;АИ-92 ЭКп|АИ-95|ТД Евро;||;115|126|1336;||;||;||;||;21.03.2013;37.660161;55.630812
50;АЗС;Калужское ш., 41 км;"ООО ""ТРАНСТЭК""";false;А92|А95|ДТ;||;462|817|3595;8.62|3.24|;||;||;||;28.03.2013;37.32942886799301;55.492924766372965
52;АЗС № 33;Калужское ш., 43 км, стр. 2;"ООО ""Компания ТРАССА""";false;Нормаль-80;;228;;;;;09.04.2013;37.290523;55.448673
